,LeagueCountry,NationalLeagueLevel,InternationalTeam,League,Club,Age,ClubSince,ActiveInternational,FormerInternational,InternationalGames,Trending,Value
1866,Deutschland,2.Liga,,2. Bundesliga,Holstein Kiel,34.0,114.0,0,0,0.0,0,225000.0
1867,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,Holstein Kiel,24.0,1781.0,0,1,1.0,0,100000.0
1894,Deutschland,2.Liga,,2. Bundesliga,SV Sandhausen,30.0,685.0,0,0,0.0,1,600000.0
1895,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,SV Sandhausen,26.0,609.0,0,1,2.0,1,200000.0
1896,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,SV Sandhausen,26.0,208.0,0,1,1.0,0,175000.0
1897,Deutschland,2.Liga,,2. Bundesliga,SV Sandhausen,23.0,1050.0,0,0,0.0,0,50000.0
1924,Deutschland,2.Liga,Deutschland U21,2. Bundesliga,Jahn Regensburg,19.0,131.0,1,0,0.0,1,800000.0
1925,Deutschland,2.Liga,Nordmazed. U21,2. Bundesliga,Jahn Regensburg,29.0,320.0,0,1,3.0,0,400000.0
1926,Deutschland,2.Liga,Deutschland U21,2. Bundesliga,Jahn Regensburg,36.0,685.0,0,1,7.0,0,200000.0
1927,Deutschland,2.Liga,,2. Bundesliga,Jahn Regensburg,25.0,1781.0,0,0,0.0,0,125000.0
1952,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,1.FC Magdeburg,25.0,685.0,0,1,2.0,1,500000.0
1953,Deutschland,2.Liga,,2. Bundesliga,1.FC Magdeburg,29.0,320.0,0,0,0.0,0,200000.0
1954,Deutschland,2.Liga,,2. Bundesliga,1.FC Magdeburg,19.0,493.0,0,0,0.0,1,100000.0
1955,Deutschland,2.Liga,,2. Bundesliga,1.FC Magdeburg,20.0,1050.0,0,0,0.0,0,50000.0
